name	lat	lon
Aix-en-Provence TGV	43.455070	5.316634
Anger St-Laud	47.464777	-0.556233
Angoulème	45.653370	0.164075
Annecy	45.901782	6.121168
Arras	50.286845	2.781229
Avignon TGV	43.921354	4.785946
Bellegarde	46.110692	5.825940
Besançon Franche-Comté TGV	47.307599	5.953080
Bordeaux	44.837789	-0.5791799999999512
Brest	48.387586	-4.479696
Chambery Challes les eaux	45.571305	5.919307
Champagne-Ardenne TGV	49.214925	3.994368
Dijon	47.322611	5.054921
Douai	50.371499	3.089684
Dunkerque	51.030425	2.369046
Grenoble	45.191408	5.714470
La Rochelle	46.152478	-1.145486
Laval	48.076105	-0.760937
Le Creusot 	46.765141	4.499706
Le Mans	47.995897	0.192070
Lille	50.62925	3.057256000000052
Loraine TGV	48.947918	6.170852
Lyon	45.764043	4.835658999999964
Macon Loche	46.282902	4.778577
Marseille	43.296482	5.369779999999992
Montpellier	43.604827	3.880554
Mulhouse	47.750839	7.335888000000068
Nantes	47.218371	-1.553621000000021
Nice	43.704472	7.261740
Nimes	43.832571	4.365886
Paris	48.856614	2.3522219000000177
Perpignan	42.696021	2.879323
Poitier	46.582408	0.332664
Quimper	47.994315	-4.091921
Rennes	48.117266	-1.6777925999999752
Saint-Etienne	45.439695	4.387177899999983
St-Malo	48.646274	-2.007905
Strasbourg	48.5734053	7.752111300000024
Toulon	43.128064	5.929183
Toulouse	43.611155	1.453524
Tours	47.388662	0.693838
Valence Alixan TGV	44.992255	4.979037
Vannes	47.665089	-2.752555
